Source,Requirement,Deadline,Risk,Compliance check 
UAA,"The Government requires
GDIT to immediately provide technical labor support for completion of the following
tasks within 30 days of receipt of this letter. Rapid onboarding of 250 – 300 applications to DOD E-ICAM Identify Provider
(IDP) and Automated Account Provisioning (AAP). ",8-Aug,,
UAA,"The Government will release the prioritization list of
applications will be provided to the Participant within ten (10) days ",19-Jul,,
UAA,"The NTE ceiling shall not exceed $550,000",9-Sep,,
UAA,"The Parties agree to negotiate and execute a subsequent, definitive modification for this scope of work on or before the Target Definitization Date of",9-Sep-26,,
UAA,Tech Proposal is due,24-Jul,,
UAA,Price Poposal due ,24-Jul,,
UAA,Government and GDIT commence negotiations on or before August 10th,10-Aug,,
UAA,Final definitized modification due,9-Sep,,
Clarifying Questions,PMO anticipated additional requirements beyond the initial 60 days for continued onboarding activities,,,
Clarifying Questions,the technical work for this rapid onboarding effort must be completed?within 30 days?of receipt of the letter,8-Aug,"**What is the ""technical work""",
Clarifying Questions,"Effort is focused on exeucting the ""standardized and rapid enterprise onboarding process""",,,
Clarifying Questions,support FM and non-FM systems,,,
Clarifying Questions,Responsible for onboarding to IDP and AAP,,,
Clarifying Questions,Must onboard onto IL5 and IL6,,,
Clarifying Questions,Activities are limited to integrating apps within the DOD EICAM ATO boundary,,,
